idCategoria|Categoría
329|2 Estrellas
330|(1) Un tenedor
331|TERCERA
332|(1) Un tenedor
333|(2) Dos tenedores
334|(1) Una tazas
335|(2) Dos tenedores
336|(1) Una taza
337|3 Estrellas
338|2 Estrellas
339|PRIMERA
340|SEGUNDA
341|PRIMERA
342|PRIMERA
343|(1) Un tenedor
344|2 Estrellas
345|TERCERA
346|(2) Dos tenedores
347|TERCERA
348|1 Estrellas
349|TERCERA
350|2 Estrellas
351|(1) Un tenedor
352|TERCERA
353|2 Estrellas
354|(1) Una taza
355|2 Estrellas
356|SEGUNDA
357|TERCERA
358|TERCERA
359|3 Estrellas
360|LUJO
361|(1) Una tazas
362|CUARTA
363|SEGUNDA
364|TERCERA
365|3 Estrellas
366|3 Estrellas
367|TERCERA
368|2 Estrellas
369|Categoría única
370|TERCERA
371|2 Estrellas
372|CUARTA
373|CUARTA
374|SEGUNDA
375|PRIMERA
376|PRIMERA
377|SEGUNDA
378|TERCERA
379|2 Estrellas
380|TERCERA
381|1 Estrellas
382|SEGUNDA
383|TERCERA
384|(2) Dos copas
385|(2) Dos tazas
386|TERCERA
387|3 Estrellas
388|Categoría única
389|1 Estrellas
390|Categoría única
391|1 Estrellas
392|SEGUNDA
393|PRIMERA
394|(1) Un tenedor
395|(2) Dos tenedores
396|(2) Dos tenedores
397|TERCERA
398|(1) Un tenedor
399|(1) Un tenedor
400|(1) Una taza
401|SEGUNDA
402|Categoría única
403|SEGUNDA
404|TERCERA
405|TERCERA
406|CUARTA
407|(1) Una taza
408|(1) Un tenedor
409|TERCERA
410|1 Estrellas
411|(1) Un tenedor
412|SEGUNDA
413|SEGUNDA
414|TERCERA
415|CUARTA
416|CUARTA
417|(1) Un tenedor
418|TERCERA
419|TERCERA
420|(4) Cuatro tenedores
421|TERCERA
422|(1) Un tenedor
423|TERCERA
424|Categoría única
425|1 Estrellas
426|TERCERA
427|TERCERA
428|SEGUNDA / 3 TENEDORES
429|TERCERA
430|(2) Dos tenedores
431|1 Estrellas
432|TERCERA
433|SEGUNDA
434|3 Estrellas
435|SEGUNDA
436|1 Estrellas
437|(1) Un tenedor
438|1 Estrellas
439|2 Estrellas
440|CUARTA
441|TERCERA
442|SEGUNDA
443|(1) Un tenedor
444|TERCERA
445|CUARTA
446|CUARTA
447|SEGUNDA
448|(1) Un tenedor
449|(1) Un tenedor
450|TERCERA
451|3 Estrellas
452|CUARTA
453|2 Estrellas
454|TERCERA
455|SEGUNDA / 3 TENEDORES
456|TERCERA
457|4 Estrellas
458|SEGUNDA
459|TERCERA / 2 TENEDORES
460|2 Estrellas
461|CUARTA
462|TERCERA
463|SEGUNDA
464|2 Estrellas
465|(1) Una tazas
466|3 Estrellas
467|2 Estrellas
468|3 Estrellas
469|TERCERA
470|(1) Un tenedor
471|(2) Dos tenedores
472|TERCERA
473|CUARTA
474|TERCERA
475|2 Estrellas
476|(1) Un tenedor
477|(1) Un tenedor
478|CUARTA
479|CUARTA
480|(2) Dos tenedores
481|SEGUNDA
482|TERCERA
483|TERCERA
484|CUARTA
485|TERCERA
486|2 Estrellas
487|TERCERA
488|TERCERA
489|2 Estrellas
490|2 Estrellas
491|SEGUNDA
492|PRIMERA
493|SEGUNDA
494|(1) Un tenedor
495|CUARTA
496|3 Estrellas
497|Categoría única
498|CUARTA / 1 TENEDOR
499|SEGUNDA
500|SEGUNDA
501|(2) Dos tenedores
502|2 Estrellas
503|TERCERA
504|SEGUNDA
505|TERCERA
