id|Categoría |id_1
15210|(1) Un tenedor|218
15211|(1) Un tenedor|219
15212|(1) Un tenedor|220
15213|(1) Un tenedor|221
15214|SEGUNDA|222
15215|AGENCIA DE VIAJES INTERNACIONAL|223
15216|CUARTA|224
15217|AGENCIA DE VIAJES INTERNACIONAL|225
15218|AGENCIA DE VIAJES INTERNACIONAL|226
15219|AGENCIA DE VIAJES INTERNACIONAL|227
15220|PRIMERA|228
15221|TERCERA|229
15222|2 Estrellas|230
15223|SEGUNDA|231
15224|SEGUNDA|232
15225|(1) Una tazas|233
15226|CUARTA|234
15227|CUARTA|235
15228|TERCERA|236
15229|TERCERA|237
15230|TERCERA|238
15231|OPERADOR TURÍSTICO|239
15232|PRIMERA|240
15233|PRIMERA|241
15234|PRIMERA|242
15235|(4) Cuatro tenedores|243
15236|AGENCIA DE VIAJES DUAL|244
15237|AGENCIA DE VIAJES INTERNACIONAL|245
15238|1 Estrellas|246
15239|CUARTA|247
15240|CUARTA|248
15241|2 Estrellas|249
15242|SEGUNDA|250
15243|CUARTA|251
15244|SEGUNDA|252
15245|PRIMERA|253
15246|TERCERA|254
15247|CUARTA|255
15248|CUARTA|256
15249|TERCERA|257
15250|(1) Un tenedor|258
15251|SEGUNDA|259
15252|TERCERA|260
15253|TERCERA|261
15254|SEGUNDA|262
15255|TERCERA|263
15256|TERCERA|264
15257|TERCERA|265
15258|TERCERA|266
15259|TERCERA|267
15260|TERCERA|268
15261|PRIMERA|269
15262|SEGUNDA|270
15263|SEGUNDA|271
15264|TERCERA|272
15265|TERCERA|273
15266|TERCERA|274
15267|SEGUNDA|275
15268|4 Estrellas|276
15269|CUARTA|277
15270|CUARTA|278
15271|OPERADOR TURÍSTICO|279
15272|CUARTA|280
15273|TERCERA|281
15274|TERCERA|282
15275|CUARTA|283
15276|TERCERA|284
15277|CUARTA|285
15278|TERCERA|286
15279|TERCERA|287
15280|TERCERA|288
15281|2 Estrellas|289
15282|Categoría única|290
15283|TERCERA|291
15284|2 Estrellas|292
15285|SEGUNDA|293
15286|RENT A CAR|294
15287|PRIMERA|295
15288|TERCERA|296
15289|TERCERA|297
15290|TERCERA|298
15291|TERCERA|299
15292|SEGUNDA|300
15293|AGENCIA DE VIAJES DUAL|301
15294|PRIMERA|302
15295|2 Estrellas|303
15296|(2) Dos tenedores|304
15297|3 Estrellas|305
15298|AGENCIA DE VIAJES DUAL|306
15299|SEGUNDA|307
15300|OPERADOR TURÍSTICO|308
15301|Categoría única|309
15302|TERCERA|310
15303|SEGUNDA|311
15304|CUARTA|312
15305|TERCERA|313
15306|TERCERA|314
15307|OPERADOR TURÍSTICO|315
15308|PRIMERA|316
