idCategoria|Categoría|horarios|idEstablecimiento
93|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22302
94|TERCERA|Lunes a sabado de 08:00 a22:00|22303
95|SEGUNDA|Lunes a Viernes 08h30 a 17h00|22304
96|TERCERA|Lunes a Viernes 08h30 a 17h00|22305
97|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22306
98|CUARTA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22307
99|(1) Una tazas|Lunes a sabado de 08:00 a22:00|22308
100|SEGUNDA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22309
101|TERCERA|Lunes a sabado de 08:00 a22:00|22310
102|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22311
103|TERCERA|Lunes a sabado de 08:00 a22:00|22312
104|PRIMERA|Lunes a Viernes 08h30 a 17h30|22313
105|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22314
106|1 Estrellas|Lunes a sabado de 08:00 a22:00|22315
107|1 Estrellas|Lunes a domingo 24 horas|22316
108|1 Estrellas|Lunes a domingo 24 horas|22317
109|TERCERA|Lunes a sabado de 08:00 a22:00|22318
110|TERCERA|Lunes a sabado de 08:00 a22:00|22319
111|2 Estrellas|Lunes a sabado de 08:00 a22:00|22320
112|2 Estrellas|Lunes a Viernes 08h30 a 17h00|22321
113|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22322
114|SEGUNDA|Lunes a viernes 06:00 a 20:00|22323
115|TERCERA|Lunes a viernes de 08:00 a 18:00|22324
116|CUARTA|Lunes a sabado de 08:00 a22:00|22325
117|1 Estrellas|Lunes a domingo 24 horas|22326
118|1 Estrellas|Lunes a sabado de 08:00 a22:00|22327
119|(1) Un tenedor|Lunes a Viernes 08h30 a 17h00|22328
120|2 Estrellas|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22329
